K,normal_bucket_probability,student_t_bucket_probability,normal_mixture_bucket_probability,student_t_minus_normal,mixture_minus_normal
18,1.8949402491585943e-08,0.00023237801292236293,0.0009242430034402281,0.00023235906351987134,0.0009242240540377365
19,3.378683562260676e-06,0.0006367067130819137,0.0022057279751487528,0.0006333280295196531,0.002202349291586492
20,0.00022923140591080138,0.002079877237245842,0.004688942277404256,0.0018506458313350405,0.004459710871493454
21,0.005977036246740619,0.008489588523570957,0.013169192091835159,0.0025125522768303377,0.00719215584509454
22,0.060597535943081926,0.043647926634325984,0.06609756873063538,-0.016949609308755942,0.005500032787553455
23,0.24173033745712885,0.21824381855668595,0.23220602099249832,-0.0234865189004429,-0.009524316464630533
24,0.38292492254802607,0.4529456721551077,0.36048437218104407,0.07002074960708166,-0.022440550366982004
25,0.2417303374571289,0.21824381855668595,0.23220602099249843,-0.023486518900442954,-0.009524316464630478
26,0.060597535943081926,0.04364792663432593,0.06609756873063533,-0.016949609308755997,0.005500032787553399
27,0.005977036246740619,0.008489588523570957,0.013169192091835202,0.0025125522768303377,0.007192155845094583
28,0.00022923140591080138,0.0020798772372458973,0.00468894227740424,0.001850645831335096,0.004459710871493439
29,3.378683562260676e-06,0.0006367067130819137,0.00220572797514873,0.0006333280295196531,0.0022023492915864695
30,1.8949402491585943e-08,0.00023237801292230742,0.0009242430034402949,0.00023235906351981583,0.0009242240540378033
